# rt	acc	condition
0.5997669696807861	1	rdw_same
0.2974952757358551	1	rdw_same
0.2954069674015045	1	rdw_same
0.4754357635974884	1	rdw_same
0.28838685154914856	1	rdw_same
0.6193887591362	1	rdw_same
0.44264811277389526	1	rdw_same
0.3534921407699585	1	rdw_same
0.4468122124671936	1	rdw_same
0.48534777760505676	1	rdw_same
0.4913872480392456	1	rdw_same
0.40658313035964966	1	rdw_same
0.6106479167938232	1	rdw_same
0.26851600408554077	1	rdw_same
0.5888755321502686	1	rdw_same
0.3285827338695526	1	rdw_same
0.6547331213951111	1	rdw_same
0.14165475964546204	1	rdw_same
0.34913137555122375	1	rdw_same
0.6442248225212097	1	rdw_same
0.5432929992675781	1	rdw_same
0.3137713670730591	1	rdw_same
0.5083707571029663	1	rdw_same
0.4678674042224884	1	rdw_same
0.5923771262168884	1	rdw_same
0.35529637336730957	1	rdw_same
0.406714528799057	1	rdw_same
0.39830854535102844	1	rdw_same
0.3519291579723358	1	rdw_same
0.48815539479255676	1	rdw_same
0.3079302906990051	1	rdw_same
0.3409574031829834	1	rdw_same
0.4238719642162323	1	rdw_same
0.37768644094467163	1	rdw_same
0.41641125082969666	1	rdw_same
0.47988441586494446	1	rdw_same
0.30658119916915894	1	rdw_same
0.5948405861854553	1	rdw_same
0.21743005514144897	1	rdw_same
0.514319896697998	1	rdw_same
0.5565999150276184	1	rdw_same
0.3726273775100708	1	rdw_same
0.5187579393386841	1	rdw_same
0.589908242225647	1	rdw_same
0.33645567297935486	1	rdw_same
0.33282238245010376	1	rdw_same
0.4956355094909668	1	rdw_same
0.5247308015823364	1	rdw_same
0.5679678320884705	1	rdw_same
0.46491625905036926	1	rdw_same
0.5371279716491699	1	rdw_same
0.1839660108089447	1	rdw_same
0.49075350165367126	1	rdw_same
0.3264525830745697	0	rdw_same
0.47212573885917664	0	rdw_same
0.5191857814788818	1	rdw_same
0.23935315012931824	1	rdw_same
0.31859156489372253	1	rdw_same
0.4396728575229645	0	rdw_same
0.5976558923721313	0	rdw_same
0.37335318326950073	1	rdw_same
0.39098429679870605	1	rdw_same
0.3648409843444824	1	rdw_same
0.48128530383110046	1	rdw_same
0.3547435402870178	1	rdw_same
0.47061675786972046	0	rdw_same
0.4284510314464569	1	rdw_same
0.4498736560344696	1	rdw_same
0.6708272695541382	0	rdw_same
0.363523930311203	1	rdw_same
0.48556575179100037	1	rdw_same
0.7719354629516602	1	rdw_same
0.5116724371910095	1	rdw_same
0.4134521782398224	1	rdw_same
0.6643813848495483	1	rdw_same
0.38137567043304443	1	rdw_same
0.34813979268074036	1	rdw_same
0.33684879541397095	1	rdw_same
0.3715277910232544	0	rdw_same
0.7736196517944336	1	rdw_same
0.38624513149261475	1	rdw_same
0.40032708644866943	1	rdw_same
0.9745792150497437	1	rdw_same
0.5504001379013062	0	rdw_same
0.4005768597126007	1	rdw_same
0.40187761187553406	1	rdw_same
0.6613263487815857	1	rdw_same
0.4361695647239685	1	rdw_same
0.5181249976158142	1	rdw_same
0.5828596353530884	1	rdw_same
0.7017113566398621	1	rdw_same
0.3623873293399811	1	rdw_same
0.5651701092720032	1	rdw_same
0.4573598802089691	1	rdw_same
0.3732537031173706	1	rdw_same
0.4245010018348694	1	rdw_same
0.573746383190155	1	rdw_same
0.5275683403015137	1	rdw_same
0.48651009798049927	1	rdw_same
0.594762921333313	1	rdw_same
