dataset;a;v;t0;st0;precision;method;penalty;fit index;time
sim_rdw_opposite_20.csv;0.811353;1.784692;0.336248;0.189302;3.000000;KS;0.000000;0.849380;0.025000
sim_rdw_opposite_21.csv;0.787744;2.007870;0.326773;0.175672;3.000000;KS;0.000000;0.995909;0.009000
sim_rdw_opposite_22.csv;0.821342;1.645516;0.304835;0.161275;3.000000;KS;0.000000;0.600116;0.027000
sim_rdw_opposite_23.csv;0.981366;1.550308;0.242576;0.103347;3.000000;KS;0.000000;0.964564;0.016000
sim_rdw_opposite_24.csv;0.753588;1.824044;0.310385;0.230482;3.000000;KS;0.000000;0.826564;0.014000
sim_rdw_opposite_25.csv;0.846449;1.521280;0.313922;0.236351;3.000000;KS;0.000000;0.539880;0.020000
sim_rdw_opposite_26.csv;0.933351;1.422445;0.296404;0.097523;3.000000;KS;0.000000;0.700982;0.014000
sim_rdw_opposite_27.csv;0.817664;1.710863;0.306587;0.095848;3.000000;KS;0.000000;0.880378;0.014000
sim_rdw_same_0.csv;1.434812;3.098779;0.273235;0.185996;3.000000;KS;0.000000;0.993472;0.025000
sim_rdw_same_1.csv;1.317675;3.672358;0.296970;0.305611;3.000000;KS;0.000000;0.903370;0.040000
sim_rdw_same_2.csv;1.259093;3.055817;0.255562;0.197559;3.000000;KS;0.000000;0.991519;0.030000
sim_rdw_same_3.csv;1.312526;2.908549;0.229551;0.232527;3.000000;KS;0.000000;0.957803;0.041000
sim_rdw_same_4.csv;0.969381;3.246771;0.297407;0.276884;3.000000;KS;0.000000;0.989714;0.033000
sim_rdw_same_5.csv;1.333573;3.433354;0.241230;0.277966;3.000000;KS;0.000000;0.998934;0.029000
sim_rdw_same_6.csv;1.285447;3.182877;0.265476;0.338671;3.000000;KS;0.000000;0.997416;0.035000
sim_rdw_same_7.csv;1.087417;3.138029;0.280995;0.172522;3.000000;KS;0.000000;0.999782;0.023000
sim_rdw_same_8.csv;1.019873;2.426709;0.298261;0.202537;3.000000;KS;0.000000;0.997397;0.035000
sim_rdw_same_9.csv;1.083509;3.714742;0.288096;0.266032;3.000000;KS;0.000000;0.942915;0.026000
sim_rdw_same_10.csv;1.196519;2.660033;0.301520;0.223655;3.000000;KS;0.000000;0.997155;0.015000
sim_rdw_same_11.csv;0.984282;2.572110;0.318432;0.202255;3.000000;KS;0.000000;0.989662;0.042000
sim_rdw_same_12.csv;1.138808;2.550734;0.289122;0.145962;3.000000;KS;0.000000;0.995559;0.026000
sim_rdw_same_13.csv;0.921363;3.960701;0.369106;0.361598;3.000000;KS;0.000000;0.999840;0.038000
sim_rdw_same_14.csv;1.105476;3.078907;0.248475;0.245575;3.000000;KS;0.000000;0.998773;0.021000
sim_rdw_same_15.csv;1.168944;3.148006;0.247124;0.217506;3.000000;KS;0.000000;0.999445;0.033000
sim_rdw_same_16.csv;0.991612;2.883516;0.319667;0.281338;3.000000;KS;0.000000;0.998062;0.040000
sim_rdw_same_17.csv;1.234931;2.472628;0.255898;0.263179;3.000000;KS;0.000000;0.991897;0.020000
sim_rdw_same_18.csv;0.755340;3.070778;0.354871;0.212624;3.000000;KS;0.000000;0.997151;0.023000
sim_rdw_same_19.csv;1.002999;2.757328;0.316258;0.222261;3.000000;KS;0.000000;0.999774;0.021000
sim_rdw_same_20.csv;0.895065;3.513758;0.357799;0.348708;3.000000;KS;0.000000;0.997278;0.025000
sim_rdw_same_21.csv;1.098343;2.637117;0.306851;0.307723;3.000000;KS;0.000000;0.960811;0.044000
sim_rdw_same_22.csv;1.078935;2.280566;0.295378;0.128252;3.000000;KS;0.000000;0.999955;0.016000
sim_rdw_same_23.csv;1.107465;2.637936;0.283297;0.187535;3.000000;KS;0.000000;0.996291;0.029000
sim_rdw_same_24.csv;1.083447;3.182473;0.294299;0.314657;3.000000;KS;0.000000;0.999443;0.045000
sim_rdw_same_25.csv;0.969570;3.326524;0.311893;0.257606;3.000000;KS;0.000000;0.992032;0.016000
sim_rdw_same_26.csv;1.049312;2.585201;0.293928;0.226854;3.000000;KS;0.000000;0.999710;0.022000
sim_rdw_same_27.csv;1.124543;2.053678;0.275442;0.135000;3.000000;KS;0.000000;0.998295;0.019000
